2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 0
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | FD | (DataQueue) get data: Testing Msg
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 2
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
